City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
143,Xunchang,CN,72.75,light rain,28.4543,104.715,Jiabin Inn
148,Livno,BA,68.5,clear sky,43.8269,17.0078,Hotel Park
151,Winneba,GH,74.55,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
152,San Cristobal,VE,71.58,clear sky,7.7669,-72.225,Posada Villaven C.A.
153,Petropavlovsk-Kamchatskiy,RU,66.79,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
154,Bandarbeyla,SO,76.01,broken clouds,9.4942,50.8122,JABIR HOTEL
157,Muleba,TZ,69.28,few clouds,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
159,Akonolinga,CM,69.21,overcast clouds,3.7667,12.25,Le Diamant De Mireille
161,Katobu,ID,72.79,light rain,-4.9408,122.5276,La Ode Husein
165,Jalingo,NG,74.23,light rain,8.8833,11.3667,Debright Motel
166,La Ronge,CA,74.19,few clouds,55.1001,-105.2842,Northland Motor Hotel
168,Pangody,RU,62.28,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
171,Jardim,BR,60.93,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
173,Sao Felix Do Xingu,BR,78.67,clear sky,-6.6447,-51.995,Rio Xingu Camping
179,Mishan,CN,75.47,overcast clouds,45.55,131.8833,Mishan Hotel
182,Faya,SA,63.12,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
188,Urucara,BR,77.23,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
189,Kuytun,RU,60.03,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
190,Mayenne,FR,71.04,clear sky,48.3333,-0.6667,la Tour des Anglais
191,Vaitape,PF,78.58,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
192,Banda Aceh,ID,79.81,overcast clouds,5.5577,95.3222,Sulthan Hotel International
202,Pemangkat,ID,77.95,overcast clouds,1.1667,108.9667,Ramah Kost KITA
206,Brokopondo,SR,78.06,heavy intensity rain,4.75,-55.1667,Matu Island
209,Whitehorse,CA,78.03,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
211,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
212,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
221,San Juan De Los Morros,VE,73.96,light rain,9.9115,-67.3538,Hotel La Montaña
225,Poso,ID,78.42,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
226,Torbay,CA,70.75,overcast clouds,47.6666,-52.7314,Gallows Cove
