City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Lodja,CD,2021-07-17 21:17:18,-3.4833,23.4333,73.38,37,68,0.72
144,Port Hedland,AU,2021-07-17 21:17:18,-20.3167,118.5667,53.65,62,60,6.91
145,Kalmunai,LK,2021-07-17 21:17:18,7.4167,81.8167,78.03,87,98,5.95
146,Airai,TL,2021-07-17 21:17:18,-8.9266,125.4092,56.01,62,99,2.51
147,Komsomolskiy,UZ,2021-07-17 21:17:19,40.4272,71.7189,72.82,52,96,0.16
148,Nyahururu,KE,2021-07-17 21:17:19,0.0421,36.3673,53.46,87,100,3.56
149,Marabba,SD,2021-07-17 21:17:19,12.35,32.1833,82.65,57,97,8.23
150,Visakhapatnam,IN,2021-07-17 21:17:20,17.69,83.2093,82.22,80,99,5.21
151,Ouadda,CF,2021-07-17 21:17:20,8.0777,22.4007,68.83,97,100,3.38
152,Codrington,AU,2021-07-17 21:17:20,-38.2667,141.9667,49.06,80,76,11.36
153,Preobrazheniye,RU,2021-07-17 21:17:21,42.9019,133.9064,70.23,83,1,7.96
154,Carbondale,US,2021-07-17 21:16:48,37.7273,-89.2168,87.75,68,20,3.44
155,Bonthe,SL,2021-07-17 21:17:21,7.5264,-12.505,75.25,92,100,6.55
156,Kieta,PG,2021-07-17 21:16:34,-6.2167,155.6333,81.32,83,100,6.26
157,Ancud,CL,2021-07-17 21:16:52,-41.8697,-73.8203,47.73,74,71,2.37
158,Rio Gallegos,AR,2021-07-17 21:17:22,-51.6226,-69.2181,39.25,75,0,13.8
159,Westport,US,2021-07-17 21:17:22,41.1415,-73.3579,85.95,84,40,5.99
160,Molochnoye,RU,2021-07-17 21:17:22,59.2917,39.6787,60.04,65,0,4.88
161,Husavik,IS,2021-07-17 21:17:23,66.0449,-17.3389,64.31,62,25,3.36
162,Katangli,RU,2021-07-17 21:17:23,51.7102,143.2326,65.79,81,97,9.44
163,Kande,TG,2021-07-17 21:17:23,9.9578,1.0447,73.58,90,59,5.59
164,Mana,GF,2021-07-17 21:17:24,5.6592,-53.7767,81.41,76,34,8.93
165,Srednekolymsk,RU,2021-07-17 21:17:24,67.45,153.6833,48.33,87,100,17.67
